Time,Inj Gas Meter Volume Instantaneous,Inj Gas Meter Volume Setpoint,Inj Gas Valve Percent Open,Deviation,Time Difference (minutes),Rate of Change Volume (per minute)
2024-10-31 00:00:00,391.4352,375.0,27.17612,-0.0438272,,
2024-10-31 00:14:00,402.52365,375.0,,-0.0733963999999999,14.0,0.7920321428571404
2024-10-31 00:30:00,380.72775,375.0,26.70198,-0.015274,16.0,-1.3622437499999975
2024-10-31 00:46:00,382.73955,375.0,,-0.0206388,16.0,0.1257374999999996
2024-10-31 01:00:00,384.86595,375.0,26.70198,-0.0263091999999999,14.0,0.15188571428571354
2024-10-31 01:14:00,384.27975,375.0,,-0.0247459999999999,14.0,-0.041871428571429954
2024-10-31 01:28:00,383.2236,375.0,,-0.0219295999999999,14.0,-0.07543928571428589
2024-10-31 01:44:00,378.5196,375.0,,-0.0093856,16.0,-0.29399999999999693
2024-10-31 02:00:00,374.74245,375.0,26.70198,0.0006867999999999,16.0,-0.23607187500000038
2024-10-31 02:14:00,370.43145,375.0,,0.0121828,14.0,-0.30792857142857394
2024-10-31 02:30:00,364.6467,375.0,,0.0276087999999999,16.0,-0.3615468749999984
2024-10-31 02:46:00,356.7471,375.0,,0.0486744,16.0,-0.4937250000000013
2024-10-31 02:58:00,348.91725,375.0,26.77205,0.0695539999999999,12.0,-0.6524874999999971
2024-10-31 03:14:00,351.435,375.0,31.71132,0.06284,16.0,0.15735937499999864
2024-10-31 03:28:00,367.9839,375.0,31.93819,0.0187095999999999,14.0,1.182064285714286
2024-10-31 03:44:00,360.4317,375.0,,0.0388488,16.0,-0.4720125000000017
2024-10-31 04:00:00,353.01495,375.0,31.93819,0.0586268,16.0,-0.4635468749999987
2024-10-31 04:14:00,347.2278,375.0,32.27454,0.0740591999999999,14.0,-0.4133678571428569
2024-10-31 04:30:00,387.82695,375.0,32.52163,-0.0342052,16.0,2.5374468750000005
2024-10-31 04:46:00,391.9182,375.0,,-0.0451152,16.0,0.25570312500000014
2024-10-31 04:58:00,391.35405,375.0,32.52163,-0.0436107999999999,12.0,-0.04701250000000338
2024-10-31 05:14:00,385.34715,375.0,27.57308,-0.0275923999999999,16.0,-0.37543124999999833
2024-10-31 05:30:00,369.4662,375.0,,0.0147567999999999,16.0,-0.992559374999999
2024-10-31 05:44:00,364.9056,375.0,,0.0269184,14.0,-0.32575714285714447
2024-10-31 06:00:00,376.30095,375.0,27.57308,-0.0034692,16.0,0.7122093750000005
2024-10-31 06:14:00,403.18215,375.0,,-0.0751523999999999,14.0,1.9200857142857128
2024-10-31 06:30:00,372.96255,375.0,27.15914,0.0054331999999999,16.0,-1.8887249999999973
2024-10-31 06:44:00,381.4254,375.0,,-0.0171344,14.0,0.604489285714286
2024-10-31 06:58:00,395.61885,375.0,27.15914,-0.0549836,14.0,1.013817857142856
2024-10-31 07:14:00,403.7988,375.0,26.95109,-0.0767968,16.0,0.5112468750000012
2024-10-31 07:30:00,380.157,375.0,26.74255,-0.0137519999999999,16.0,-1.4776125000000029
2024-10-31 07:44:00,383.89305,375.0,,-0.0237148,14.0,0.2668607142857167
2024-10-31 08:00:00,383.85165,375.0,26.74255,-0.0236044,16.0,-0.002587500000000631
2024-10-31 08:16:00,382.32105,375.0,,-0.0195228,16.0,-0.09566249999999954
2024-10-31 08:30:00,379.84755,375.0,,-0.0129268,14.0,-0.17667857142857152
2024-10-31 08:44:00,375.29715,375.0,,-0.0007923999999999,14.0,-0.32502857142857317
2024-10-31 08:58:00,371.1993,375.0,26.74255,0.0101352,14.0,-0.292703571428571
2024-10-31 09:14:00,362.8299,375.0,,0.0324535999999999,16.0,-0.523087499999999
2024-10-31 09:30:00,357.57825,375.0,,0.0464579999999999,16.0,-0.328228124999999
2024-10-31 09:44:00,347.8146,375.0,26.87227,0.0724944,14.0,-0.6974035714285743
2024-10-31 10:00:00,350.36805,375.0,31.51879,0.0656852,16.0,0.15959062499999987
2024-10-31 10:16:00,366.1869,375.0,31.93419,0.0235016,16.0,0.9886781249999999
2024-10-31 10:28:00,356.53905,375.0,,0.0492292,12.0,-0.8039875000000004
2024-10-31 10:44:00,346.10175,375.0,32.21342,0.077062,16.0,-0.6523312499999996
2024-10-31 10:58:00,381.33885,375.0,32.59013,-0.0169035999999999,14.0,2.5169357142857143
2024-10-31 11:14:00,388.8678,375.0,,-0.0369807999999999,16.0,0.47055937500000056
2024-10-31 11:30:00,390.71445,375.0,,-0.0419052,16.0,0.11541562500000069
2024-10-31 11:44:00,390.4104,375.0,,-0.0410943999999999,14.0,-0.021717857142858423
2024-10-31 12:00:00,392.3283,375.0,32.59013,-0.0462088,16.0,0.11986875000000197
2024-10-31 12:16:00,375.55305,375.0,,-0.0014747999999999,16.0,-1.0484531250000018
2024-10-31 12:28:00,378.5421,375.0,,-0.0094456,12.0,0.24908750000000168
2024-10-31 12:44:00,391.3623,375.0,,-0.0436328,16.0,0.8012625
2024-10-31 13:00:00,387.04995,375.0,27.59917,-0.0321332,16.0,-0.2695218749999988
2024-10-31 13:14:00,392.16345,375.0,,-0.0457692,14.0,0.36524999999999913
2024-10-31 13:30:00,373.4718,375.0,27.13345,0.0040752,16.0,-1.1682281250000024
2024-10-31 13:44:00,382.32855,375.0,,-0.0195428,14.0,0.6326250000000024
2024-10-31 14:00:00,388.60875,375.0,27.13345,-0.0362899999999999,16.0,0.3925124999999987
2024-10-31 14:14:00,394.0902,375.0,,-0.0509071999999999,14.0,0.3915321428571425
2024-10-31 14:28:00,397.1235,375.0,,-0.0589959999999999,14.0,0.2166642857142855
2024-10-31 14:44:00,391.8903,375.0,,-0.0450408,16.0,-0.3270749999999971
2024-10-31 15:00:00,391.26240000000007,375.0,27.13345,-0.0433664000000001,16.0,-0.039243749999997135
2024-10-31 15:14:00,388.79865,375.0,,-0.0367964,14.0,-0.17598214285714725
2024-10-31 15:30:00,385.16265,375.0,,-0.0271003999999999,16.0,-0.2272500000000015
2024-10-31 15:46:00,383.72205,375.0,,-0.0232588,16.0,-0.09003749999999755
2024-10-31 16:00:00,377.50425,375.0,27.13345,-0.006678,14.0,-0.4441285714285722
2024-10-31 16:14:00,368.8425,375.0,,0.01642,14.0,-0.6186964285714315
2024-10-31 16:28:00,364.9485,375.0,,0.0268039999999999,14.0,-0.2781428571428535
2024-10-31 16:44:00,353.8239,375.0,,0.0564696,16.0,-0.6952875000000027
2024-10-31 17:00:00,346.8498,375.0,27.25162,0.0750671999999999,16.0,-0.4358812499999978
2024-10-31 17:14:00,358.07565,375.0,31.97817,0.0451316,14.0,0.8018464285714272
2024-10-31 17:30:00,350.64765,375.0,,0.0649396,16.0,-0.46424999999999983
2024-10-31 17:46:00,347.7393,375.0,32.47241,0.0726951999999999,16.0,-0.18177187499999903
2024-10-31 17:58:00,389.4867,375.0,32.52616,-0.0386311999999999,12.0,3.4789499999999975
2024-10-31 18:14:00,394.1541,375.0,,-0.0510776,16.0,0.2917125000000027
2024-10-31 18:28:00,389.4676500000001,375.0,,-0.0385804000000002,14.0,-0.33474642857142306
2024-10-31 18:44:00,393.64290000000005,375.0,,-0.0497144000000001,16.0,0.2609531249999968
2024-10-31 19:00:00,380.4375,375.0,32.52616,-0.0145,16.0,-0.8253375000000034
2024-10-31 19:14:00,386.4477,375.0,,-0.0305271999999999,14.0,0.42929999999999985
2024-10-31 19:30:00,397.2879,375.0,,-0.0594343999999999,16.0,0.6775124999999989
2024-10-31 19:46:00,394.23855,375.0,27.56656,-0.0513027999999999,16.0,-0.19058437500000025
2024-10-31 19:58:00,393.3465,375.0,27.56656,-0.0489239999999999,12.0,-0.07433749999999861
2024-10-31 20:14:00,378.3774,375.0,27.15282,-0.0090064,16.0,-0.9355687499999981
2024-10-31 20:30:00,387.57360000000006,375.0,,-0.0335296000000001,16.0,0.5747625000000021
2024-10-31 20:44:00,393.5628,375.0,,-0.0495007999999999,14.0,0.4277999999999947
2024-10-31 21:00:00,395.5602,375.0,27.15282,-0.0548272,16.0,0.12483750000000171
2024-10-31 21:14:00,397.34055,375.0,,-0.0595748,14.0,0.12716785714285703
2024-10-31 21:30:00,399.0927,375.0,,-0.0642471999999999,16.0,0.10950937499999824
2024-10-31 21:44:00,395.1003,375.0,,-0.0536008,14.0,-0.2851714285714268
2024-10-31 21:58:00,392.93145,375.0,27.15282,-0.0478171999999999,14.0,-0.1549178571428586
2024-10-31 22:14:00,389.11125,375.0,,-0.0376299999999999,16.0,-0.2387625
2024-10-31 22:30:00,383.28765,375.0,,-0.0221003999999999,16.0,-0.36397499999999994
2024-10-31 22:44:00,378.117,375.0,,-0.008312,14.0,-0.36933214285714044
2024-10-31 23:00:00,369.4143,375.0,27.15282,0.0148951999999999,16.0,-0.5439187499999996
2024-10-31 23:16:00,362.7906,375.0,,0.0325584,16.0,-0.41398125000000263
2024-10-31 23:30:00,354.6297,375.0,,0.0543207999999999,14.0,-0.5829214285714264
2024-10-31 23:44:00,347.41470000000004,375.0,27.20716,0.0735607999999999,14.0,-0.5153571428571411
2024-10-31 23:58:00,350.05965,375.0,31.99441,0.0665076,14.0,0.18892499999999554
2024-11-01 00:14:00,349.3515,375.0,32.12311,0.068396,16.0,-0.044259374999999324
2024-11-01 00:30:00,356.76345,375.0,,0.0486308,16.0,0.4632468749999994
2024-11-01 00:44:00,358.99425,375.0,,0.0426819999999999,14.0,0.15934285714286034
2024-11-01 01:00:00,368.18475,375.0,32.12311,0.0181739999999999,16.0,0.5744062499999991
2024-11-01 01:16:00,356.07585,375.0,,0.0504643999999999,16.0,-0.7568062500000003
2024-11-01 01:28:00,348.6102,375.0,32.2995,0.0703727999999999,12.0,-0.6221374999999986
2024-11-01 01:44:00,353.4846,375.0,32.46087,0.0573744,16.0,0.30464999999999876
2024-11-01 01:58:00,399.156,375.0,32.54506,-0.064416,14.0,3.2622428571428577
2024-11-01 02:14:00,381.1647,375.0,27.44286,-0.0164391999999999,16.0,-1.1244562500000015
2024-11-01 02:30:00,382.07295,375.0,,-0.0188611999999999,16.0,0.0567656250000006
2024-11-01 02:44:00,391.18815,375.0,,-0.0431684,14.0,0.6510857142857154
2024-11-01 03:00:00,404.19825,375.0,27.44286,-0.0778619999999999,16.0,0.8131312499999979
2024-11-01 03:16:00,375.6963,375.0,26.96547,-0.0018568,16.0,-1.7813718749999978
2024-11-01 03:28:00,384.588,375.0,,-0.025568,12.0,0.7409750000000012
2024-11-01 03:44:00,387.17805,375.0,,-0.0324747999999999,16.0,0.16187812499999765
2024-11-01 04:00:00,388.9983,375.0,26.96547,-0.0373287999999999,16.0,0.1137656249999992
2024-11-01 04:14:00,390.19409999999993,375.0,,-0.0405175999999998,14.0,0.08541428571428307
2024-11-01 04:30:00,389.2587,375.0,,-0.0380231999999999,16.0,-0.05846249999999742
2024-11-01 04:44:00,386.81445,375.0,,-0.0315052,14.0,-0.17458928571428242
2024-11-01 05:00:00,383.3721,375.0,26.96547,-0.0223255999999999,16.0,-0.21514687500000207
2024-11-01 05:14:00,378.219,375.0,,-0.0085839999999999,14.0,-0.3680785714285711
2024-11-01 05:28:00,374.2278,375.0,,0.0020591999999999,14.0,-0.2850857142857137
2024-11-01 05:44:00,365.93325,375.0,,0.024178,16.0,-0.518409375000001
2024-11-01 06:00:00,357.26445,375.0,26.96547,0.0472947999999999,16.0,-0.5417999999999985
2024-11-01 06:14:00,347.2515,375.0,,0.0739959999999999,14.0,-0.7152107142857135
2024-11-01 06:30:00,351.8634,375.0,32.02424,0.0616975999999999,16.0,0.28824374999999947
2024-11-01 06:46:00,375.60825,375.0,32.55748,-0.0016219999999999,16.0,1.484053124999999
2024-11-01 07:00:00,379.1397,375.0,32.55748,-0.0110392,14.0,0.25224642857142904
2024-11-01 07:14:00,385.09005,375.0,,-0.0269068,14.0,0.42502500000000104
2024-11-01 07:28:00,383.03895,375.0,,-0.0214372,14.0,-0.14650714285714425
2024-11-01 07:44:00,393.3516,375.0,,-0.0489376,16.0,0.6445406250000012
2024-11-01 08:00:00,385.3179,375.0,32.55748,-0.0275144,16.0,-0.5021062500000006
2024-11-01 08:14:00,374.3547,375.0,,0.0017208,14.0,-0.7830857142857164
2024-11-01 08:30:00,382.7622,375.0,,-0.0206992,16.0,0.5254687500000017
2024-11-01 08:46:00,390.58695,375.0,27.60731,-0.0415652,16.0,0.48904687499999966
2024-11-01 08:58:00,397.3077,375.0,27.60731,-0.0594872,12.0,0.5600625000000008
2024-11-01 09:14:00,377.47635,375.0,27.1532,-0.0066036,16.0,-1.2394593749999991
2024-11-01 09:28:00,388.26225,375.0,,-0.0353659999999999,14.0,0.7704214285714264
2024-11-01 09:44:00,395.85255,375.0,,-0.0556068,16.0,0.47439375000000084
2024-11-01 10:00:00,398.883,375.0,27.1532,-0.0636879999999999,16.0,0.18940312499999834
2024-11-01 10:14:00,402.74865,375.0,,-0.0739963999999999,14.0,0.2761178571428583
2024-11-01 10:30:00,402.4513500000001,375.0,27.04894,-0.0732036000000002,16.0,-0.018581249999993332
2024-11-01 10:46:00,400.42005000000006,375.0,,-0.0677868000000001,16.0,-0.12695625000000277
2024-11-01 10:58:00,397.635,375.0,27.04894,-0.0603599999999999,12.0,-0.23208750000000578
2024-11-01 11:14:00,391.87335,375.0,,-0.0449956,16.0,-0.3601031249999984
2024-11-01 11:30:00,370.95075,375.0,,0.0107979999999999,16.0,-1.3076624999999993
2024-11-01 11:44:00,361.67025,375.0,,0.0355459999999999,14.0,-0.6628928571428584
2024-11-01 12:00:00,346.68645000000004,375.0,27.12025,0.0755027999999999,16.0,-0.9364874999999984
2024-11-01 12:14:00,359.5425,375.0,31.95805,0.0412199999999999,14.0,0.9182892857142845
2024-11-01 12:30:00,377.31075,375.0,32.57053,-0.0061619999999999,16.0,1.110515624999998
2024-11-01 12:44:00,377.4762,375.0,,-0.0066032,14.0,0.011817857142858657
2024-11-01 12:58:00,369.5862,375.0,32.57053,0.0144367999999999,14.0,-0.5635714285714276
2024-11-01 13:14:00,362.6043,375.0,,0.0330551999999999,16.0,-0.43636874999999975
2024-11-01 13:30:00,0.0,375.0,62.10478,1.0,16.0,-22.66276875
2024-11-01 13:44:00,209.00475,375.0,,0.442654,14.0,14.928910714285715
2024-11-01 14:00:00,0.0,375.0,62.10478,1.0,16.0,-13.062796875
2024-11-01 14:16:00,,375.0,100.0,,16.0,
2024-11-01 14:58:00,0.0,375.0,100.0,1.0,42.0,
2024-11-01 16:00:00,0.0,375.0,100.0,1.0,62.0,0.0
2024-11-01 16:58:00,0.0,375.0,100.0,1.0,58.0,0.0
2024-11-01 18:00:00,0.0,375.0,100.0,1.0,62.0,0.0
