Time,Inj Gas Meter Volume Instantaneous,Inj Gas Meter Volume Setpoint,Inj Gas Valve Percent Open
10/14/2024 12:00:00 am,1467.3729,1455.0,
10/14/2024 12:02:00 am,1466.604825,1455.0,
10/14/2024 12:04:00 am,1469.3316,1455.0,
10/14/2024 12:06:00 am,1470.3357,1455.0,
10/14/2024 12:08:00 am,1468.70685,1455.0,26.18433
10/14/2024 12:10:00 am,1460.9364,1455.0,
10/14/2024 12:12:00 am,1470.5415,1455.0,
10/14/2024 12:14:00 am,1463.54265,1455.0,
10/14/2024 12:16:00 am,1468.5693,1455.0,
10/14/2024 12:18:00 am,1466.0652,1455.0,
10/14/2024 12:22:00 am,1466.14275,1455.0,
10/14/2024 12:24:00 am,1468.08645,1455.0,
10/14/2024 12:26:00 am,1469.53065,1455.0,
10/14/2024 12:28:00 am,1471.30965,1455.0,
10/14/2024 12:30:00 am,1473.05655,1455.0,
10/14/2024 12:32:00 am,1470.72885,1455.0,
10/14/2024 12:34:00 am,1476.54,1455.0,
10/14/2024 12:36:00 am,1471.85835,1455.0,
10/14/2024 12:38:00 am,1478.62185,1455.0,
10/14/2024 12:40:00 am,1475.46225,1455.0,
10/14/2024 12:42:00 am,1474.970025,1455.0,
10/14/2024 12:46:00 am,1471.2525,1455.0,
10/14/2024 12:48:00 am,1469.8339500000002,1455.0,
10/14/2024 12:50:00 am,1471.3899499999995,1455.0,
10/14/2024 12:52:00 am,1471.9224,1455.0,
10/14/2024 12:54:00 am,1478.9943,1455.0,
10/14/2024 12:56:00 am,1468.42935,1455.0,
10/14/2024 12:58:00 am,1474.1958,1455.0,
10/14/2024 1:00:00 am,1477.5744,1455.0,
10/14/2024 1:02:00 am,1473.17325,1455.0,
10/14/2024 1:04:00 am,1472.58075,1455.0,26.18433
10/14/2024 1:06:00 am,1480.91055,1455.0,
10/14/2024 1:10:00 am,1479.431925,1455.0,
10/14/2024 1:12:00 am,1478.5734,1455.0,
10/14/2024 1:14:00 am,1489.563375,1455.0,
10/14/2024 1:16:00 am,1485.97815,1455.0,
10/14/2024 1:18:00 am,1495.8405,1455.0,
10/14/2024 1:20:00 am,1483.7355,1455.0,
10/14/2024 1:22:00 am,1483.10655,1455.0,
10/14/2024 1:24:00 am,1480.998,1455.0,
10/14/2024 1:26:00 am,1484.2278,1455.0,
10/14/2024 1:28:00 am,1483.03725,1455.0,
10/14/2024 1:32:00 am,1486.01595,1455.0,
10/14/2024 1:34:00 am,1479.3629999999998,1455.0,
10/14/2024 1:36:00 am,1486.06005,1455.0,
10/14/2024 1:38:00 am,1485.19875,1455.0,
10/14/2024 1:40:00 am,1485.616275,1455.0,
10/14/2024 1:42:00 am,1483.25775,1455.0,
10/14/2024 1:44:00 am,1486.8786,1455.0,
10/14/2024 1:46:00 am,1485.5124,1455.0,
10/14/2024 1:48:00 am,1486.0324500000002,1455.0,
10/14/2024 1:50:00 am,1490.4234,1455.0,
10/14/2024 1:52:00 am,1486.7442,1455.0,
10/14/2024 1:56:00 am,1487.2313250000002,1455.0,
10/14/2024 1:58:00 am,1489.6707,1455.0,
10/14/2024 2:00:00 am,1486.36725,1455.0,
10/14/2024 2:02:00 am,1489.1514,1455.0,
10/14/2024 2:04:00 am,1488.556725,1455.0,26.18433
10/14/2024 2:06:00 am,1486.4583,1455.0,
10/14/2024 2:08:00 am,1483.5015,1455.0,
10/14/2024 2:10:00 am,1491.7167,1455.0,
10/14/2024 2:12:00 am,1488.820725,1455.0,
10/14/2024 2:14:00 am,1493.08005,1455.0,
10/14/2024 2:16:00 am,1490.81865,1455.0,
10/14/2024 2:20:00 am,1485.033,1455.0,
10/14/2024 2:22:00 am,1487.5715249999998,1455.0,
10/14/2024 2:24:00 am,1490.294025,1455.0,
10/14/2024 2:26:00 am,1497.4503,1455.0,
10/14/2024 2:28:00 am,1492.20525,1455.0,
10/14/2024 2:30:00 am,1488.551475,1455.0,
10/14/2024 2:32:00 am,1494.92205,1455.0,
10/14/2024 2:34:00 am,1495.3194,1455.0,
10/14/2024 2:36:00 am,1495.4005000000006,1455.0,
10/14/2024 2:38:00 am,1502.5035,1455.0,
10/14/2024 2:40:00 am,1497.111975,1455.0,
10/14/2024 2:44:00 am,1496.76015,1455.0,
10/14/2024 2:46:00 am,1487.9634,1455.0,
10/14/2024 2:48:00 am,1492.6827,1455.0,
10/14/2024 2:50:00 am,1495.9545,1455.0,
10/14/2024 2:52:00 am,1500.245175,1455.0,
